id(sha1);sha256;DDOS SCORE;family;size;bits;arch;bintype;endianess;lang;static;stripped;decompiled;DDOS Str score;dynamic IP;static IP;User agent;NET files;SYS files;PROC files;AUTOINSTALL bins;HIST files;SYS calls;while ratio;code suspect lines ration;functions;line/func ratio;whiles;source file
09e45cf271b2ea7a13b0da9c06e16977c493df95;65cfc41263ed121a7846a7951999d3d63f5a9b680b6d03bb14021c2c1181512c;0.96;;122782;32;m68k;elf;big;c;1;0;0;76.67;1;1;1;1;1;1;1;1;0;0.00;0.00;NA;NA;NA;../dataset2/NewMalware/files/6aff4061-45ff-4c27-9a4f-29fb46166057/stage2/pftp
09f4fecf8b7f6b43d4eea4f974de0c7df3ec7c40;691b43c6f22034fb707eaf3ee440fd8f7b80eb6cfd196dcfd22ee2fcb3b034f5;0.61;Mirai;1916016;32;arm;elf;little;c;1;1;0;64.00;1;0;1;1;1;1;0;0;0;0.00;0.00;NA;NA;NA;../dataset2/mirai/691b43c6f22034fb707eaf3ee440fd8f7b80eb6cfd196dcfd22ee2fcb3b034f5
0a496758f642f0718bf27a33c5da7520a012cd26;d0b9553da3324bf1202689de7490022093428a0e0c39b65efe9b178990ed382c;0.21;;55808;32;x86;elf;little;c;1;1;1;18.00;0;0;0;1;1;1;0;0;0;18.54;0.64;132;330;54;../dataset2/NewMalware/files/01490c29-c3e9-4a01-8b18-9ab5c0642bc6/stage1.dat
0aa0042194ee937a9299ded0ff57fa47f9a3b07e;cc948af6873959ab9b364748f53c6370d6a68cd7e053a9bf5fd204880dbce20e;0.71;Gafgyt;316568;32;mips;elf;little;c;1;0;1;69.33;1;1;1;1;1;1;1;1;1;6.67;0.31;308;1009;207;../dataset2/misc/ca42de77-d891-463b-a2f9-cb7ddc2e7922.dat
0b14639c1c2a06166b64bd8b03083a7e695921c7;052c56a9239ddd0b62c3a7b36b173b24c94d04492892ebaa5b8fe0fcbc5385fd;0.91;Gafgyt;99016;64;x86;elf;little;c;1;1;0;49.33;1;1;1;1;1;1;1;1;0;0.00;0.00;NA;NA;NA;../dataset2/NewMalware/files/fbc816c8-585b-4f6f-ac7c-c47895f2b313/stage2/botx86_64final
0b2af9053ef2b5261c5ef451a4fd843614b3063a;5ba4d2ba0f02d1443c74dae3846db41cb0dde6e59b6d8d067b44e453dfb4bd28;0.24;Mirai;129523;32;arm;elf;little;c;1;0;1;60.00;0;0;0;0;1;1;0;0;0;18.78;1.12;274;363;262;../dataset2/mirai/5ba4d2ba0f02d1443c74dae3846db41cb0dde6e59b6d8d067b44e453dfb4bd28
0b45a141987028f442f1bb14fec38b5d2c5c9fc3;10297a525f2c3731c4e5222d6a73263ff26c16efe73195b84ba572c981d3d8ca;0.24;Mirai;129612;32;arm;elf;little;c;1;0;1;60.00;0;0;0;0;1;1;0;0;0;18.78;1.12;272;366;262;../dataset2/mirai/10297a525f2c3731c4e5222d6a73263ff26c16efe73195b84ba572c981d3d8ca
0b4d9813ec8dbb3ea5128993190cf09cff6d6d34;cbdfa14558aa1cdccb0e022112185561aa4873c446818088ef7ec9d5213f8ab4;0.29;Mirai;120875;32;arm;elf;little;c;1;0;1;53.33;0;1;0;0;1;1;0;0;0;22.71;1.48;270;284;278;../dataset2/NewMalware/files/bcd98a5d-1512-4d62-9daa-8c17db86ec2c/stage1.dat
0b58be9e7005882a44107395e507ecd248446790;7961890fcc87e7d3726a28b1285febbc3ae046db81986e099ba8aebcbd7f5ad0;0.35;Tsunami;68945;32;x86;elf;little;c;1;0;1;67.33;0;0;0;1;1;0;0;0;1;23.70;1.46;213;238;74;../dataset2/NewMalware/files/f0e67159-6990-48bc-ab6e-fa175a5e3858/stage2/besutoi586s
0b9db2e9ae952db6c16fa8aad24bf4d71eda6edb;bf7b2f6458a9871ed14eeed225ab510a62674867a531e64be3369ab25dd9dd4c;0.32;;63179;32;x86;elf;little;c;1;0;1;45.33;0;1;0;1;1;0;0;0;0;27.02;1.49;202;214;79;../dataset2/NewMalware/files/55a6361a-7f4f-4e53-98d7-0a3d947a6be0/stage2/r00tyftp
0bba19ec2644e6a46c3508b5fd03c274efb7429d;a9b15474c05f34b588529d688d3c08c775a01c3e7aea09738f4b429c1e110a8a;0.22;;756880;64;x86;elf;little;c;1;1;0;46.67;0;0;0;0;1;1;0;0;0;0.00;0.00;NA;NA;NA;../dataset2/mirai/a9b15474c05f34b588529d688d3c08c775a01c3e7aea09738f4b429c1e110a8a
0bf6424a4bd0dcbfc2a5dc2af75d24da62502677;b544b8172d39642058a27e5f4369303f08a424d01ff3a656bc0d013cae544e5c;0.22;Mirai;62508;32;sparc;elf;big;c;1;1;0;16.67;0;0;0;1;1;1;0;0;0;0.00;0.00;NA;NA;NA;../dataset2/NewMalware/files/cc09e69f-a6fe-41b1-97c2-0dbc8b19475a/stage1.dat
0c1675bf83c5031b3df8db0cba04400af169d9a6;a0d5ca2f5a3fac650a695ac8febdd0568fc614235de328333d7a0b25c1534a55;0.15;Mirai;72928;32;mips;elf;big;c;1;1;1;6.67;0;0;0;0;1;0;0;0;0;21.14;0.53;113;602;32;../dataset2/NewMalware/files/ca85cd47-279e-40b7-8c45-12300b83b320/stage1.dat
0c7cb2f3e0ebefe13a6edc39876e958577d62a3a;1d3fa6f3d68ce29abaa3d834921a0d82bfabfb754a1c160ae8f208fde9d826f8;0.18;Mirai;57948;32;x86;elf;little;c;1;1;1;8.67;0;0;0;0;1;0;0;0;0;29.60;1.09;118;184;40;../dataset2/mirai/1d3fa6f3d68ce29abaa3d834921a0d82bfabfb754a1c160ae8f208fde9d826f8
