id;size;bits;arch;bintype;class;crypto;endian;lang;machine;nx;os;static;stripped;subsys;va;decompiled;sections;strings;source file
be59b201556835a28c83f86a94171f6047d8d4f7;254021;32;ppc;elf;ELF32;0;big;c;PowerPC;1;linux;1;0;linux;1;1;.comment|.data|.fini|.rodata|.shstrtab|.strtab|.text;getpid:4|connect:17|dns:2|random:11|kill:11|udp:1|ping:2|tcp:2|host:30|socket:8;../dataset2/misc/bd527746-dffc-4595-babc-0b769d34d16a.dat
05b29c704724dca9cc8d292c10be4c63e67d0614;271597;32;sparc;elf;ELF32;0;big;c;SUN SPARC;1;linux;1;0;linux;1;0;.comment|.data|.debug_abbrev|.debug_info|.debug_line|.debug_pubnames|.debug_str|.rodata|.shstrtab|.strtab|.symtab|.text;kill:11|dns:2|random:11|getpid:4|connect:16|host:30|socket:10|ping:2|tcp:2|udp:1;../dataset2/misc/e1efd893-10f4-4627-b63a-30e219b84834.dat
60bf2222087f6e018170bccb364f1933c411a905;50156;32;mips;elf;ELF32;0;little;c;MIPS R3000;0;linux;0;1;linux;1;1;.comment|.data|.dynamic|.dynstr|.hash|.interp|.rodata|.shstrtab|.text|LOAD0;udp:2|tcp:2|socket:1|getpid:1|connect:1|random:1|kill:4;../dataset2/misc/2daf0f9d-93f4-493b-9157-aa9feb84baf1.dat
881bf62a7664925526e557ff1529cc9cd49ed96d;219936;32;mips;elf;ELF32;0;little;c;MIPS R3000;0;linux;1;0;linux;1;1;.comment|.data|.rodata|.shstrtab|.strtab|.text;ping:2|socket:7|host:19|udp:14|random:10|dns:2|kill:9|connect:11|getpid:4;../dataset2/misc/e94794db-b773-433f-a54b-650f3b2db4d1.dat
23ab8148734ac12f107977745b1b151455fa92ee;340098;64;mips;elf;ELF64;0;big;c;MIPS R3000;0;linux;1;0;linux;1;0;.comment|.data|.debug_abbrev|.debug_frame|.debug_info|.debug_line|.debug_pubnames|.debug_str|.init|.rodata|.shstrtab|.strtab|.text;udp:1|ping:2|tcp:2|host:30|socket:8|getpid:4|connect:17|dns:2|random:11|kill:11;../dataset2/misc/9d7789aa-d173-4276-9086-4a6926df2ca9.dat
04f05c86c0dc0f179921364d4e1bad386063a8e7;167988;32;arm;elf;ELF32;0;little;c;ARM;0;linux;1;0;linux;1;1;.comment|.data|.debug_abbrev|.debug_info|.debug_line|.rodata|.shstrtab|.strtab|.symtab|.text;socket:7|host:19|ping:2|udp:14|kill:9|dns:2|random:10|getpid:4|connect:11;../dataset2/misc/1c131ce8-53a3-48c8-ae5f-c352ffa17a20.dat
6e65ffa83130664b6f20ef7b6d0c97b1c9bec7af;179805;64;mips;elf;ELF64;0;big;c;MIPS R3000;0;linux;1;0;linux;1;0;.comment|.data|.debug_abbrev|.debug_frame|.debug_info|.debug_line|.debug_pubnames|.debug_str|.rodata|.shstrtab|.strtab|.text;host:27|socket:6|ping:2|udp:1|kill:5|random:10|dns:2|getpid:4|connect:12;../dataset2/misc/e13dfcff-fc8b-4adb-a954-e1ac43532fa4.dat
5fb727593acc0d64670ad1a6ccd28cbc57eba828;139743;32;arm;elf;ELF32;0;little;c;ARM;0;linux;1;0;linux;1;1;.ARM.attributes|.comment|.data|.debug_abbrev|.debug_info|.debug_line|.debug_loc|.debug_pubnames|.debug_ranges|.debug_str|.rodata|.shstrtab|.strtab|.symtab|.text|unknown;getpid:4|connect:12|random:10|dns:2|kill:5|udp:1|ping:2|socket:6|host:27;../dataset2/misc/2e838f9e-4fb3-4702-b966-19f588e1b62c.dat
d6e6c47846e2d3d2a5c11c9c75350d48457430cd;179138;32;m68k;elf;ELF32;0;big;c;Motorola m68k family;1;linux;1;0;linux;1;0;.comment|.data|.fini|.init|.rodata|.shstrtab|.strtab|.text;udp:14|host:19|socket:9|ping:2|getpid:4|connect:11|kill:10|dns:2|random:10;../dataset2/misc/26341895-5b59-408b-9691-e6db61c93cbe.dat
1fe2b1379ef3226907cebda93a94f774e7e625f2;212544;32;sh;elf;ELF32;0;little;c;Hitachi SH;0;linux;1;0;linux;1;0;.comment|.data|.rodata|.shstrtab|.strtab|.text;dns:2|random:11|kill:11|connect:17|getpid:4|tcp:2|ping:2|socket:8|host:30|udp:1;../dataset2/misc/f9aebad0-752d-4a46-b51a-1482e58b7204.dat
cce0d42ffe9fe15d83f0a7a9e35f81a91a54a057;54088;32;arm;elf;ELF32;0;little;c;ARM;0;linux;1;1;linux;1;1;.rodata|.shstrtab|.text;;../dataset2/matsuta/ee9dbfb312bffb592438567641fa6bfe1ab15cafc0fe0805dc045be7d37fffaa
f7e1b9adde5f38a56112c52842474275c20457ee;43072;32;x86;elf;ELF32;0;little;c;Intel 80386;1;linux;1;1;linux;1;1;.rodata|.shstrtab|.text;;../dataset2/matsuta/fff7ba61cd15eb76a8e2098c71182925d2bcb1b8e0d9aa296d5f61521bfa184d
b8b96c70e07874100f2d5505626c4e6242b86e07;37804;32;ppc;elf;ELF32;0;big;c;PowerPC;1;linux;1;1;linux;1;1;.rodata|.shstrtab|.text;;../dataset2/matsuta/eef076df1aa081b4588e41f3cea5ecdb9d18c73b75af339a80a6a993944c41a9
ddf35bf29f901154cb89563bb7bcc93999d37c8d;60652;32;mips;elf;ELF32;0;big;c;MIPS R3000;0;linux;1;1;linux;1;1;.rodata|.shstrtab|.text;;../dataset2/matsuta/39ec50745cb6e58cdf494212afa3e39ac622159a5e4e83346466911c05ddbc1a
8112a6eb7021b6c974daa8c269d04709d368c96a;42624;32;x86;elf;ELF32;0;little;c;Intel 80386;1;linux;1;1;linux;1;1;.rodata|.shstrtab|.text;;../dataset2/matsuta/d603d7933b3fe94dbadb21e19f574459738f53b6080561f2c4a71a1b0116c9ff
13f276de8f9ddff7f84be7922e6967af74e3bd23;54088;32;arm;elf;ELF32;0;little;c;ARM;0;linux;1;1;linux;1;1;.rodata|.shstrtab|.text;;../dataset2/matsuta/70bef13e1e5a828793e87f6d23f60df8b64c61637a3a5b2cad603168b1833858
